msname,msinstanceid,nodeid,instance_cpu_usage,instance_memory_usage,timestamp
65e02687786d55115026221feb9e45d5eaa61c40acc59f2001b31e880ba6154a,cd0fa805a12983fa0c6dd60b7a2c19cbaa9d1f5fd7e90e4ddf67e4a1dc0df21e,b0f8965f5ce6d3dbea7bd9f0f307a8f7b57062d1e8e4d1788a86fa8f9723645b,0.12449999999953434,0.6101741790771484,0
2dae55aca6f9c5099a8eb93350854e4822ec79e9dc2a6832b4856408bc839455,ad6fede578009681d2a8190c625a9b372c3bf18d9b6eb909ff95d2e3a683940c,945dc5edc838e3ddbc583bcf32d458cadadc4700f7f52d33d05ad1b8950944dc,0.08716666666635622,0.5900850296020508,0
30c95505cf5a76d5b291bd0fb87aae61e83f8909c6e97914b52ad45c8fd37eea,8c4fd4c991c6b75871002c503b04b8037f6e3ec3648593b6f2376ffd27faf410,0dd0b5ea4a213c6907d724445015cf550a6ae4bf6c31eb95ec4ed552f4100647,0.1668749999992239,0.5307116508483887,0
f2831e310555eecf683031907ac1ce487c9d808d4f0934fe1f95019e04b6ced3,487fa4b742e133ea47932299ab4be3e55728f623ce5eb7942429c651fa99834c,c6d7c4c25557a7a384022d42bd30de00ae564323dd5aa9a51e82e9033700e8d1,0.1851666666722546,0.5199093818664551,0
c22ba45a5c7cd165e854210a624b8f21562487b67f2bf5508bd2d56ca5344003,f2f339b6ba26b2569819eca1e828818335d41b86ac6268318c1f19a1fc9a3f84,6cb43c5d4044373c388e636cc9010aaa71022be48ec2c71f9991313d28bbae25,0.07922916666660361,0.7060778141021729,0
002251d4123496684687c2acad43bdef9419a5e4fc01a65d2c558af92a5ad649,7eb8bdd5d218cea1aaea4e5d567bdcfbfdc4d873f0631f644032c34dccb66c7e,845100ccb808f13636f6a64af6fd7ab2334561764d46983dc9d0a561eed23990,0.15566666666418313,0.6805391311645508,0
5f876a7340841ba7d9021abcfe009ff7179ab83f9ccf32c2ab7513397d345744,07ffd458a85e29ef746b764f60e4ad2a442d1c9e131bafaacb1d8167ddf19e8d,2dc989a8016f31586c20bded2f88e120fbcb81728dc87e56e73ebcf718fe1027,0.08504166666666606,0.7657392024993896,0
b21c637c2fbf212c52ed532476f71052018e07cabe8beb12a6fb3a6e086e2c6d,02459e62b0f511795c11c48006cbca0b86fb1e2de1a68178c39eeda9580177e8,28cb83b1ae921b8e55df8c8e88c819d59d379d8a487bee5eeb40233c34133db3,0.1325833333345751,0.6082172393798828,0
7b973c9a30cb5fa6024d07de011805cd5333d0dd2b92f8c18d279502406355d1,82832469d11a4b8fb4ae8283fb1a9c5448ca849612563858eb28253005908661,db0912325cff6d2687186541c7311ef6709ae028639d43b6ba1da7c6f3d1d151,0.06933333333193635,0.46840763092041016,0
da7fb1f8df43a2a4f52270122e36926008a03831a4517b41f23e9a28e0e9bae0,33ea89d714bd9bfa152e9594cbbb70a6cee9fe769ce803c617e993cf883053a3,fc0692abe512f270016180c54ec04777e3ab752c8bd74253ea772db2d92e311b,0.1277500000006209,0.7368373870849609,0
a828cf949747f47b182e8269b324b8948f97330f6104f9d893e40a52dd62b26d,edd3ae8484dbdeaca9577ae96b3e1046419227f5ebf0b36325f03895db27139f,362893e02781ef17d332802d60358cf147736c388998bd26422c685e65baa950,0.288520833333799,0.6526205539703369,0
24601dd8b36f856eb0a4d759866f475bc62cf843ffe0920e0d4d72ea1e84719c,84b0c36a6fff6f452676e10f7a7e428a1eae552fafbc87cefd92e73681877b54,24f4cbef37d1ab665bfff859f20ec4f71639425462d738692e646eebdd19808a,0.17866666667008152,0.6330990791320801,0
c636d684235894436e7868e279ea8d7c37ceb2c7f99b66aa6eb9823c09a88164,6e28cc7a731843b8404fc7238c9b3a771b47b29b7fc2287f90f0930391d28957,059c7d51d9700ef028580a2337ca2cf09ebc6f8316de48951338829dc9bf557d,0.10745833333348856,0.503293514251709,0
fe1c1b555b650c8a5c38d93fd204ef573e2d7f851096ef2d9b3cd630a9a77469,2e236f713d54e5f713a04c51ce2eea24cca6f8c8f58dd74a616ca112ac3f6d7c,b2fd297fb55f91ec4606e87b7f43c40ccaa25bd9fa81a5420d2eecfe40d9ffdb,0.091166666666201,0.5126838684082031,0
389ad8ab3bfc96886e6b190ec247e6a11f0a83febf571511590eaa3edf92d529,9f3989ce629694f8a0c516b7c4fc2cfc0184ffb88980e56ef75311576363837f,41b800ad4abd433b566b4756992ee24031297878fb2eb839a1fe8ddf2d711dcf,0.16443749999937912,0.7119357585906982,0
f379c8fbaf04c610cfa6ecbac2c2c5e65fce967d63ca164915a2ed12eab734c4,d71bbee195e7fb0df935cb53eef90696aaf3bda4834979add4df0d5ef579c8cd,1de1322df5dcab5d07dfcb3538d6a0721b736f0517d38a0658faafd851d63d2b,0.2570416666722546,0.8258152008056641,0
